Trade Date,X,Filing Date,Ticker,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,Value
2022-02-08,,2022-02-09 18:16:05,MSFT,Smith Bradford L,"Pres, Vice Chair",S - Sale,$304.64,"-27,860","622,460",-4%,"-$8,487,170"
2021-12-07,D,2021-12-08 17:59:22,MSFT,List Teri,Dir,S - Sale+OE,$334.90,"-1,650","1,654",-50%,"-$552,578"
2021-11-22,M,2021-11-24 18:02:23,MSFT,Nadella Satya,CEO,S - Sale,$340.26,"-838,584","830,791",-50%,"-$285,338,535"
2021-11-02,,2021-11-03 18:13:01,MSFT,Althoff Judson,"EVP, Chief Commercial Officer",S - Sale,$332.28,"-54,757","139,586",-28%,"-$18,194,837"
2021-11-01,,2021-11-02 18:03:55,MSFT,Smith Bradford L,"Pres, Vice Chair",S - Sale,$328.60,"-55,000","654,820",-8%,"-$18,073,050"
2021-09-10,,2021-09-13 18:05:14,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$298.68,"-20,000","183,988",-10%,"-$5,973,540"
2021-09-10,,2021-09-13 18:03:54,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$298.82,"-10,000","97,023",-9%,"-$2,988,176"
2021-09-01,,2021-09-01 20:12:28,MSFT,Nadella Satya,CEO,S - Sale,$303.28,"-75,573","1,669,375",-4%,"-$22,920,037"
2021-09-01,,2021-09-03 18:05:42,MSFT,Hood Amy,"EVP, CFO",S - Sale,$303.08,"-60,000","463,259",-11%,"-$18,184,980"
2021-05-12,M,2021-05-14 18:09:23,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$243.01,"-3,914","87,897",-4%,"-$951,151"
2021-05-10,,2021-05-11 18:02:45,MSFT,Smith Bradford L,Pres,S - Sale,$250.27,"-8,000","646,408",-1%,"-$2,002,161"
2021-05-07,,2021-05-10 18:09:59,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$252.66,"-6,086","91,811",-6%,"-$1,537,711"
2021-03-02,,2021-03-03 18:09:52,MSFT,Nadella Satya,CEO,S - Sale,$234.81,"-278,694","1,504,329",-16%,"-$65,440,051"
2021-01-28,,2021-02-01 18:05:30,MSFT,Courtois Jean Philippe,EVP,S - Sale,$239.60,"-18,358","900,697",-2%,"-$4,398,520"
2020-12-09,,2020-12-11 18:17:05,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$212.43,"-30,000","189,064",-14%,"-$6,372,801"
2020-11-05,,2020-11-06 17:52:12,MSFT,Smith Bradford L,Pres,S - Sale,$222.58,"-200,000","708,501",-22%,"-$44,515,472"
2020-11-05,,2020-11-06 17:54:29,MSFT,Nadella Satya,CEO,S - Sale,$222.52,"-104,500","1,392,573",-7%,"-$23,253,330"
2020-09-09,M,2020-09-11 18:05:11,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$209.80,"-30,000","98,943",-23%,"-$6,294,048"
2020-09-08,,2020-09-09 18:23:23,MSFT,Walmsley Emma N,Dir,S - Sale,$206.51,-42,414,-9%,"-$8,673"
2020-09-03,,2020-09-04 17:49:16,MSFT,Hood Amy,"EVP, CFO",S - Sale,$218.14,"-80,000","452,720",-15%,"-$17,451,200"
2020-09-01,A,2020-09-08 14:12:29,MSFT,Nadella Satya,CEO,S - Sale,$226.13,"-83,572","1,463,818",-5%,"-$18,898,358"
2020-09-01,E,2020-09-02 17:31:34,MSFT,Nadella Satya,CEO,S - Sale,$27.06,"-83,572","1,463,818",-5%,"-$2,261,327"
2020-08-25,,2020-08-26 18:02:42,MSFT,Courtois Jean Philippe,EVP,S - Sale,$213.59,"-15,014","852,266",-2%,"-$3,206,771"
2020-08-17,,2020-08-18 17:58:08,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$209.90,"-30,871",176,-99%,"-$6,479,764"
2020-08-06,,2020-08-07 17:55:50,MSFT,Courtois Jean Philippe,EVP,S - Sale,$215.00,"-15,140","867,280",-2%,"-$3,255,100"
2020-06-08,,2020-06-08 18:38:01,MSFT,Walmsley Emma N,Dir,S - Sale,$186.05,-49,293,-14%,"-$9,117"
2020-05-01,,2020-05-04 18:00:50,MSFT,Johnson Margaret L,"EVP, Business Development",S - Sale,$176.08,"-35,000","306,193",-10%,"-$6,162,800"
2020-05-01,,2020-05-04 17:58:27,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,$176.94,"-3,000","57,136",-5%,"-$530,811"
2020-03-03,,2020-03-04 18:23:25,MSFT,Walmsley Emma N,Dir,S - Sale,$164.58,-54,151,-26%,"-$8,887"
2020-03-03,,2020-03-04 18:18:53,MSFT,Nadella Satya,CEO,S - Sale,$168.47,"-280,174","1,349,105",-17%,"-$47,200,996"
2020-03-03,,2020-03-04 18:03:45,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,$173.80,"-5,000","60,136",-8%,"-$869,000"
2020-02-04,,2020-02-04 18:17:27,MSFT,Courtois Jean Philippe,EVP,S - Sale,$179.55,"-18,000","889,292",-2%,"-$3,231,810"
2019-12-05,,2019-12-09 18:12:28,MSFT,Johnson Margaret L,"EVP, Business Development",S - Sale,$150.01,"-35,000","345,150",-9%,"-$5,250,462"
2019-11-06,M,2019-11-07 17:59:55,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$144.58,"-10,000","111,444",-8%,"-$1,445,771"
2019-11-04,M,2019-11-05 17:59:21,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$144.59,"-5,000","121,444",-4%,"-$722,925"
2019-10-29,M,2019-10-30 18:05:58,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$143.73,"-10,000","126,444",-7%,"-$1,437,291"
2019-10-25,M,2019-10-28 18:04:06,MSFT,Courtois Jean Philippe,EVP,S - Sale,$142.89,"-24,419","907,292",-3%,"-$3,489,152"
2019-09-10,,2019-09-11 18:16:31,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$135.58,"-9,000","119,579",-7%,"-$1,220,217"
2019-09-10,,2019-09-11 18:14:21,MSFT,Hogan Kathleen T,"EVP, HR",S - Sale,$135.25,"-40,000","198,042",-17%,"-$5,409,972"
2019-09-05,M,2019-09-06 18:23:52,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$139.93,"-18,500","128,579",-13%,"-$2,588,616"
2019-09-05,,2019-09-05 18:29:32,MSFT,Courtois Jean Philippe,EVP,S - Sale,$140.00,"-11,779","904,509",-1%,"-$1,649,060"
2019-09-05,,2019-09-05 18:23:50,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$139.36,"-12,500","147,079",-8%,"-$1,741,938"
2019-09-04,,2019-09-05 18:36:44,MSFT,Nadella Satya,CEO,S - Sale,$137.20,"-99,837","1,114,086",-8%,"-$13,697,323"
2019-09-04,,2019-09-05 18:34:01,MSFT,Hood Amy,"EVP, CFO",S - Sale,$137.26,"-123,769","433,940",-22%,"-$16,988,657"
2019-09-04,,2019-09-05 18:20:59,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,$137.17,"-4,000","54,306",-7%,"-$548,680"
2019-08-13,,2019-08-14 18:30:22,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$138.15,"-7,000","122,817",-5%,"-$967,050"
2019-08-08,,2019-08-12 18:06:26,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$138.00,"-3,500","129,817",-3%,"-$483,006"
2019-08-01,,2019-08-05 18:04:52,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$138.06,"-3,372","133,317",-2%,"-$465,542"
2019-08-01,,2019-12-02 18:26:32,MSFT,Capossela Christopher C,"EVP, CMO",S - Sale,$138.06,"-3,372","133,317",-2%,"-$465,542"
2019-07-29,,2019-07-30 18:39:25,MSFT,Brod Frank H,Chief Accounting Officer,S - Sale,$141.05,"-4,000","64,152",-6%,"-$564,216"
2023-06-13,,2023-06-13 17:14:11,GOOG,Hennessy John L,Dir,S - Sale,$125.65,-200,"51,620",0%,"-$25,130"
2023-06-02,,2023-06-02 19:02:33,GOOG,Mather Ann,Dir,S - Sale,$125.33,"-9,540","24,900",-28%,"-$1,195,633"
2023-06-02,A,2023-06-07 18:11:28,GOOG,Mather Ann,Dir,S - Sale,$125.31,"-7,640","4,700",-62%,"-$957,370"
2023-05-31,,2023-05-31 16:30:49,GOOG,Arnold Frances,Dir,S - Sale,$123.73,-240,"19,760",-1%,"-$29,695"
2023-05-25,,2023-05-26 18:23:24,GOOG,Arnold Frances,Dir,S - Sale,$125.25,-950,"20,000",-5%,"-$118,988"
2023-05-19,,2023-05-22 11:54:18,GOOG,Hennessy John L,Dir,S - Sale,$125.00,-800,"51,820",-2%,"-$100,000"
2023-05-16,,2023-05-18 12:04:42,GOOG,Shriram Kavitark Ram,Dir,S - Sale,$120.01,"-150,000","5,335,140",-3%,"-$18,000,960"
2023-05-05,,2023-05-05 16:55:39,GOOG,Shriram Kavitark Ram,Dir,S - Sale,$105.04,"-75,000","5,147,460",-1%,"-$7,878,321"
2023-05-02,,2023-05-02 17:50:15,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$107.51,-637,"86,850",-1%,"-$68,484"
2023-04-04,,2023-04-04 17:10:37,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$104.91,-645,"88,313",-1%,"-$67,667"
2023-04-03,,2023-04-04 17:44:36,GOOG,Raghavan Prabhakar,SVP,S - Sale,$103.46,"-32,379","460,520",-7%,"-$3,349,978"
2023-04-03,A,2023-04-13 17:33:30,GOOG,Raghavan Prabhakar,SVP,S - Sale,$103.46,"-16,189","92,770",-15%,"-$1,674,936"
2023-03-29,,2023-03-31 14:11:51,GOOG,Walker John Kent,"Pres, Global Affairs, CLO",S - Sale,$101.84,"-29,006","288,652",-9%,"-$2,953,968"
2023-03-16,,2023-03-16 14:54:19,GOOG,Shriram Kavitark Ram,Dir,S - Sale,$100.00,"-75,000","5,560,140",-1%,"-$7,500,218"
2023-03-01,,2023-03-01 17:25:21,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$90.15,-637,"50,282",-1%,"-$57,426"
2023-02-27,,2023-02-28 19:41:02,GOOG,Mather Ann,Dir,S - Sale,$90.05,-380,"34,440",-1%,"-$34,219"
2023-02-01,,2023-02-01 18:13:51,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$99.87,-637,"51,702",-1%,"-$63,617"
2023-01-25,,2023-01-27 14:05:19,GOOG,Mather Ann,Dir,S - Sale,$96.92,-340,"34,820",-1%,"-$32,953"
2023-01-23,,2023-01-25 16:44:44,GOOG,Walker John Kent,"Pres, Global Affairs, CLO",S - Sale,$100.00,"-11,313","345,551",-3%,"-$1,131,300"
2023-01-04,,2023-01-04 19:35:45,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$91.15,-855,"53,122",-2%,"-$77,933"
2023-01-03,,2023-01-03 18:27:06,GOOG,Raghavan Prabhakar,SVP,S - Sale,$89.75,"-22,203","524,319",-4%,"-$1,992,617"
2022-12-27,,2022-12-28 19:34:23,GOOG,Mather Ann,Dir,S - Sale,$89.24,-380,"35,160",-1%,"-$33,911"
2022-12-01,,2022-12-01 19:43:08,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$101.13,-855,"55,028",-2%,"-$86,467"
2022-11-25,,2022-11-28 19:59:56,GOOG,Mather Ann,Dir,S - Sale,$98.48,-360,"35,540",-1%,"-$35,453"
2022-11-03,,2022-11-03 17:49:11,GOOG,Mather Ann,Dir,S - Sale,$86.31,-260,"35,900",-1%,"-$22,441"
2022-11-02,,2022-11-03 17:29:11,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$90.85,-855,"56,934",-1%,"-$77,677"
2022-10-25,,2022-10-25 18:41:04,GOOG,Mather Ann,Dir,S - Sale,$103.23,-280,"36,160",-1%,"-$28,904"
2022-10-05,,2022-10-06 15:55:51,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,$100.80,"-76,678","672,945",-10%,"-$7,729,104"
2022-10-04,,2022-10-05 21:37:40,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$101.04,-855,"58,840",-1%,"-$86,389"
2022-10-03,,2022-10-04 16:49:51,GOOG,Raghavan Prabhakar,SVP,S - Sale,$98.09,"-22,208","590,192",-4%,"-$2,178,453"
2022-09-28,,2022-10-03 19:21:42,GOOG,Walker John Kent,"Pres, Global Affairs, CLO",S - Sale,$100.01,"-34,809","391,084",-8%,"-$3,481,064"
2022-09-26,,2022-09-28 12:29:04,GOOG,Mather Ann,Dir,S - Sale,$98.60,-300,"36,440",-1%,"-$29,580"
2022-09-09,,2022-09-12 17:03:54,GOOG,Hennessy John L,Dir,S - Sale,$110.00,"-1,500","52,720",-3%,"-$165,000"
2022-09-01,,2022-09-02 15:34:57,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$109.15,-855,"60,746",-1%,"-$93,323"
2022-08-25,,2022-08-29 15:40:57,GOOG,Mather Ann,Dir,S - Sale,$115.15,-280,"36,740",-1%,"-$32,242"
2022-08-10,,2022-08-10 18:18:15,GOOG,Hennessy John L,Dir,S - Sale,$120.00,-500,"54,220",-1%,"-$60,000"
2022-08-04,,2022-08-05 18:13:02,GOOG,Walker John Kent,"Pres, Global Affairs, CLO",S - Sale,$118.25,"-34,799","460,123",-7%,"-$4,114,953"
2022-08-02,,2022-08-03 12:45:31,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,$114.33,-847,"62,652",-1%,"-$96,838"
2022-07-29,,2022-07-29 17:23:16,GOOG,Arnold Frances,Dir,S - Sale,$116.44,"-1,230","20,950",-6%,"-$143,219"
2022-07-25,,2022-07-26 20:21:29,GOOG,Mather Ann,Dir,S - Sale,$108.94,-300,"37,020",-1%,"-$32,682"
2022-07-11,,2022-07-11 19:25:00,GOOG,Hennessy John L,Dir,S - Sale,"$2,337.13",-75,"2,224",-3%,"-$175,285"
2022-07-05,,2022-07-06 13:06:27,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$2,182.62","-3,834","39,916",-9%,"-$8,368,180"
2022-07-01,,2022-07-01 19:02:05,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,166.74",-42,"3,227",-1%,"-$91,003"
2022-07-01,,2022-07-01 19:52:54,GOOG,Raghavan Prabhakar,SVP,S - Sale,"$2,166.74","-1,109","32,804",-3%,"-$2,402,915"
2022-06-27,,2022-06-29 20:11:07,GOOG,Mather Ann,Dir,S - Sale,"$2,383.32",-20,"1,710",-1%,"-$47,666"
2022-06-09,,2022-06-13 19:00:40,GOOG,Hennessy John L,Dir,S - Sale,"$2,346.81",-42,"2,739",-2%,"-$98,566"
2022-06-09,,2022-06-13 19:05:44,GOOG,Hennessy John L,Dir,S - Sale,"$2,348.39",-33,"2,859",-1%,"-$77,497"
2022-06-09,A,2022-08-17 17:01:35,GOOG,Hennessy John L,Dir,S - Sale,"$2,348.39",-33,232,-12%,"-$77,497"
2022-06-01,,2022-06-02 19:02:31,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,298.63",-42,"3,322",-1%,"-$96,542"
2022-05-25,,2022-05-27 18:10:41,GOOG,Mather Ann,Dir,S - Sale,"$2,102.84",-21,"1,730",-1%,"-$44,160"
2022-05-09,,2022-05-10 20:30:14,GOOG,Hennessy John L,Dir,S - Sale,"$2,270.90",-44,"2,814",-2%,"-$99,919"
2022-05-09,,2022-05-10 20:36:29,GOOG,Hennessy John L,Dir,S - Sale,"$2,280.98",-31,845,-4%,"-$70,710"
2022-05-03,,2022-05-04 17:28:29,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,335.30",-42,"2,464",-2%,"-$98,083"
2022-05-03,,2022-05-04 17:46:08,GOOG,Raghavan Prabhakar,SVP,S - Sale,"$2,335.30",-490,"36,097",-1%,"-$1,144,297"
2022-04-19,D,2022-04-21 20:40:02,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,582.86","-13,130",758,-95%,"-$33,912,961"
2022-04-19,D,2022-04-21 20:41:32,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,602.65",-758,"19,527,502",0%,"-$1,972,808"
2022-04-19,,2022-04-21 20:42:54,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,590.79","-11,932","19,515,570",0%,"-$30,913,302"
2022-04-19,,2022-04-21 20:49:44,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,611.38","-1,956","19,513,614",0%,"-$5,107,853"
2022-04-18,D,2022-04-20 17:56:19,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,545.46","-13,889","19,541,391",0%,"-$35,353,875"
2022-04-18,,2022-04-20 18:00:27,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,553.50","-13,789","19,527,602",0%,"-$35,210,245"
2022-04-18,,2022-04-20 18:01:27,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,574.16",-100,"19,527,502",0%,"-$257,416"
2022-04-14,,2022-04-18 20:43:24,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,560.86","-12,689","19,542,591",0%,"-$32,494,785"
2022-04-14,,2022-04-18 20:53:57,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,593.20","-1,200","19,541,391",0%,"-$3,111,839"
2022-04-14,D,2022-04-18 20:57:19,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,552.04","-12,189","1,700",-88%,"-$31,106,850"
2022-04-14,D,2022-04-18 21:00:03,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,583.50","-1,700","19,555,280",0%,"-$4,391,951"
2022-04-13,,2022-04-15 21:35:08,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,590.52","-12,612","18,571,041",0%,"-$32,671,681"
2022-04-13,,2022-04-15 21:36:27,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,609.21","-1,276","18,587,035",0%,"-$3,329,356"
2022-04-13,D,2022-04-15 21:37:36,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,578.54","-11,178","2,710",-80%,"-$28,822,950"
2022-04-13,D,2022-04-15 21:39:28,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,600.32","-2,710",0,-100%,"-$7,046,878"
2022-04-12,,2022-04-14 16:48:34,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,581.38","-8,789","18,588,753",0%,"-$22,687,792"
2022-04-12,,2022-04-14 16:52:14,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,623.06","-5,100","18,600,923",0%,"-$13,377,609"
2022-04-12,D,2022-04-14 18:23:50,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,560.91","-7,628","6,261",-55%,"-$19,534,643"
2022-04-12,D,2022-04-14 18:27:10,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,601.90","-6,261",0,-100%,"-$16,290,519"
2022-04-11,,2022-04-12 21:20:51,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,612.00","-11,589","18,599,842",0%,"-$30,270,520"
2022-04-11,D,2022-04-12 21:47:13,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,594.59","-11,250","2,639",-81%,"-$29,189,085"
2022-04-11,,2022-04-12 21:49:25,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,648.31","-2,300","18,614,812",0%,"-$6,091,104"
2022-04-11,D,2022-04-12 21:52:38,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,632.28","-2,639",0,-100%,"-$6,946,576"
2022-04-11,,2022-04-13 20:56:39,GOOG,Hennessy John L,Dir,S - Sale,"$2,574.94",-94,"2,889",-3%,"-$242,044"
2022-04-11,,2022-04-13 20:58:58,GOOG,Hennessy John L,Dir,S - Sale,"$2,618.42",-31,"2,983",-1%,"-$81,171"
2022-04-05,,2022-04-06 14:03:22,GOOG,Schindler Philipp,"SVP, Chief Business Officer",S - Sale,"$2,840.03","-3,907","14,034",-22%,"-$11,095,992"
2022-04-04,,2022-04-04 16:56:48,GOOG,Raghavan Prabhakar,SVP,S - Sale,"$2,816.49","-1,276","36,587",-3%,"-$3,593,841"
2022-04-01,,2022-04-01 16:53:40,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,800.20",-42,"3,512",-1%,"-$117,608"
2022-03-22,,2022-03-23 18:56:21,GOOG,Hennessy John L,Dir,S - Sale,"$2,800.00",-25,"2,107",-1%,"-$70,000"
2022-03-18,,2022-03-21 19:29:58,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,692.44","-7,780","19,561,389",0%,"-$20,947,171"
2022-03-18,,2022-03-21 19:32:30,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,725.40","-6,109","19,555,280",0%,"-$16,649,478"
2022-03-18,D,2022-03-21 19:34:34,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,690.36","-7,080","6,809",-51%,"-$19,047,765"
2022-03-18,AD,2022-03-22 17:29:26,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,677.05","-6,567","7,322",-47%,"-$17,580,187"
2022-03-18,D,2022-03-22 18:17:47,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,711.18","-7,322",0,-100%,"-$19,851,248"
2022-03-17,D,2022-03-18 18:50:23,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,663.02","-13,889",0,-100%,"-$36,986,630"
2022-03-17,,2022-03-18 18:54:58,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,673.59","-13,599","19,569,459",0%,"-$36,358,128"
2022-03-17,,2022-03-18 18:56:51,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,694.01",-290,"19,569,169",0%,"-$781,263"
2022-03-16,,2022-03-17 20:35:31,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,630.84","-7,767","19,589,180",0%,"-$20,433,756"
2022-03-16,,2022-03-17 21:05:13,GOOG,Page Lawrence,"Dir, 10%",S - Sale,"$2,657.89","-6,122","19,583,058",0%,"-$16,271,630"
2022-03-16,D,2022-03-17 21:07:01,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,619.25","-7,317","6,572",-53%,"-$19,165,066"
2022-03-16,D,2022-03-17 21:14:25,GOOG,Page Lawrence,"Dir, 10%",S - Sale+OE,"$2,646.00","-6,572",0,-100%,"-$17,389,487"
2022-03-09,,2022-03-10 18:24:20,GOOG,Hennessy John L,Dir,S - Sale,"$2,636.47",-92,"2,132",-4%,"-$242,555"
2022-03-09,,2022-03-10 18:48:12,GOOG,Hennessy John L,Dir,S - Sale,"$2,648.18",-33,"3,039",-1%,"-$87,390"
2022-03-09,D,2022-03-11 18:31:59,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,620.42","-8,069","5,820",-58%,"-$21,144,205"
2022-03-09,D,2022-03-11 18:49:11,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,663.79","-5,820",0,-100%,"-$15,503,273"
2022-03-09,,2022-03-11 20:30:41,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,626.87","-8,061","18,617,259",0%,"-$21,175,180"
2022-03-09,,2022-03-11 20:42:48,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,672.94","-5,828","18,628,701",0%,"-$15,577,888"
2022-03-08,,2022-03-10 19:30:46,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,542.38","-9,068","18,630,141",0%,"-$23,054,277"
2022-03-08,,2022-03-10 20:45:23,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,588.28","-4,821","18,642,590",0%,"-$12,478,113"
2022-03-08,D,2022-03-10 20:50:55,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,537.48","-8,759","5,130",-63%,"-$22,225,749"
2022-03-08,,2022-03-10 20:53:19,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,583.50","-5,130",0,-100%,"-$13,253,356"
2022-03-07,,2022-03-09 21:41:32,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,553.55","-8,410","18,644,588",0%,"-$21,475,341"
2022-03-07,,2022-03-09 21:43:17,GOOG,Sergey Brin,"Dir, 10%",S - Sale,"$2,592.63","-5,379","18,656,479",0%,"-$13,945,759"
2022-03-07,D,2022-03-09 21:46:38,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,546.41","-8,505","5,384",-61%,"-$21,657,255"
2022-03-07,D,2022-03-09 21:49:16,GOOG,Sergey Brin,"Dir, 10%",S - Sale+OE,"$2,588.31","-5,384",0,-100%,"-$13,935,471"
2022-03-01,,2022-03-02 21:51:47,GOOG,O'Toole Amie Thuener,"VP, Chief Accounting Officer",S - Sale,"$2,691.68",-42,"3,607",-1%,"-$113,051"
2022-02-16,D,2022-02-17 19:19:32,GOOG,Pichai Sundar,CEO,S - Sale+OE,"$2,720.83","-3,000","91,157",-3%,"-$8,162,476"
2022-02-09,D,2022-02-11 12:12:28,GOOG,Brin Sergey,"Dir, 10%",S - Sale+OE,"$3,222.87","-13,010",879,-94%,"-$41,929,493"
